"time","Out1","Out2","Out3","Out4"
0.268,0.576704,0.235092,0.187721,0
0.269,0.578153,0.235857,0.188684,0
0.27,0.579597,0.236621,0.189647,0
0.271,0.581038,0.237384,0.19061,0
0.272,0.582474,0.238146,0.191574,0
0.273,0.583906,0.238907,0.192539,0
0.274,0.585334,0.239668,0.193504,0
0.275,0.586758,0.240428,0.194469,0
0.276,0.588177,0.241187,0.195435,0
0.277,0.589593,0.241946,0.196401,0
0.278,0.591004,0.242703,0.197367,0
0.279,0.592411,0.24346,0.198334,0
0.28,0.593813,0.244216,0.199301,0
0.281,0.595212,0.244972,0.200269,0
0.282,0.596607,0.245726,0.201237,0
0.283,0.597997,0.24648,0.202206,0
0.284,0.599383,0.247233,0.203175,0
0.285,0.600765,0.247986,0.204144,0
0.286,0.602143,0.248737,0.205114,0
0.287,0.603517,0.249488,0.206084,0
0.288,0.604887,0.250238,0.207054,0
0.289,0.606253,0.250988,0.208025,0
0.29,0.607614,0.251736,0.208996,0
0.291,0.608972,0.252484,0.209967,0
0.292,0.610326,0.253231,0.210939,0
0.293,0.611675,0.253978,0.211911,0
0.294,0.613021,0.254724,0.212884,0
0.295,0.614362,0.255468,0.213857,0
0.296,0.615699,0.256213,0.21483,0
0.297,0.617033,0.256956,0.215803,0
0.298,0.618362,0.257699,0.216777,0
0.299,0.619688,0.258441,0.217751,0
0.3,0.621009,0.259182,0.218726,0
0.301,0.622327,0.259922,0.2197,0
0.302,0.62364,0.260662,0.220676,0
0.303,0.624949,0.261401,0.221651,0
0.304,0.626255,0.262139,0.222627,0
0.305,0.627557,0.262877,0.223603,0
0.306,0.628854,0.263613,0.224579,0
0.307,0.630148,0.264349,0.225555,0
0.308,0.631438,0.265085,0.226532,0
0.309,0.632724,0.265819,0.227509,0
0.31,0.634006,0.266553,0.228487,0
0.311,0.635284,0.267286,0.229465,0
0.312,0.636558,0.268018,0.230443,0
0.313,0.637828,0.26875,0.231421,0
0.314,0.639095,0.269481,0.232399,0
0.315,0.640357,0.270211,0.233378,0
0.316,0.641616,0.270941,0.234357,0
0.317,0.642871,0.271669,0.235336,0
0.318,0.644122,0.272397,0.236316,0
0.319,0.645369,0.273124,0.237296,0
0.32,0.646613,0.273851,0.238276,0
0.321,0.647852,0.274577,0.239256,0
0.322,0.649088,0.275302,0.240237,0
0.323,0.65032,0.276026,0.241217,0
0.324,0.651548,0.27675,0.242198,0
0.325,0.652772,0.277473,0.24318,0
0.326,0.653993,0.278195,0.244161,0
0.327,0.65521,0.278916,0.245143,0
0.328,0.656423,0.279637,0.246125,0
0.329,0.657632,0.280357,0.247107,0
0.33,0.658837,0.281076,0.248089,0
0.331,0.660039,0.281795,0.249072,0
0.332,0.661237,0.282513,0.250055,0
0.333,0.662432,0.28323,0.251037,0
0.334,0.663622,0.283946,0.252021,0
0.335,0.664809,0.284662,0.253004,0
0.336,0.665992,0.285377,0.253988,0
